key,ko,en,vi,comment
"workflow.generationStoppedByCheckTitle","검사에서 생성이 중단되었습니다.","Validation stopped generation.","Kiem tra da dung tao.","Web workflow"
"workflow.checkFailedShortTitle","검사에 실패했습니다.","Check failed.","Kiem tra that bai.","Web workflow"
"workflow.generationProgressTitle","생성 진행 상황을 확인해주세요.","Check generation progress.","Kiem tra tien do tao.","Web workflow"
"workflow.generationReadyTitle","생성 준비 중입니다.","Ready to generate.","San sang tao.","Web workflow"
"workflow.stepFailedTitle","{title} 단계에서 실패했습니다.","Failed at the {title} step.","That bai o buoc {title}.","Web workflow"
"workflow.generationRunningTitle","생성을 진행하고 있습니다.","Generation in progress.","Dang tao.","Web workflow"
"workflow.checkPassedTitle","검사를 통과했습니다.","Check passed.","Kiem tra thanh cong.","Web workflow"
"workflow.generateSequenceHint","생성을 누르면 검사 후 Generate와 Bake를 순차 실행합니다.","Running generation executes Check, Generate, and Bake in sequence.","Nhan tao se chay Check, Generate va Bake lan luot.","Web workflow"
"workflow.externalChangeStale","플레이어블 파일이 외부에서 변경되었습니다. 현재 화면의 검사 상태는 최신이 아닙니다.","The playable file changed externally. The current validation state is stale.","File playable da thay doi ben ngoai. Trang thai kiem tra hien tai da cu.","Web workflow"
"workflow.externalChangeApplied","외부 변경을 반영했습니다.","External changes applied.","Da ap dung thay doi ben ngoai.","Web workflow"
"workflow.refreshFailed","Workflow 상태를 갱신하지 못했습니다.","Could not refresh Workflow status.","Khong the lam moi trang thai Workflow.","Web workflow"
"workflow.detailState","상태: {value}","State: {value}","Trang thai: {value}","Web workflow"
"workflow.detailStage","단계: {value}","Stage: {value}","Buoc: {value}","Web workflow"
"workflow.detailMessage","메시지: {value}","Message: {value}","Thong diep: {value}","Web workflow"
"workflow.detailProgress","진행률: {value}","Progress: {value}","Tien do: {value}","Web workflow"
"workflow.detailUpdated","업데이트: {value}","Updated: {value}","Cap nhat: {value}","Web workflow"
"workflow.recentLogs","최근 로그:","Recent logs:","Log gan day:","Web workflow"
"workflow.modeStale","최신 아님","Stale","Da cu","Web workflow"
"workflow.modeFresh","최신","Fresh","Moi","Web workflow"
"workflow.fixabilityManual","수동 확인","Manual check","Kiem tra thu cong","Web workflow"
"workflow.fixabilityAgentCandidate","Agent 보정 후보","Agent fix candidate","Ung vien Agent sua","Web workflow"
"workflow.inspectionRefreshNeeded","검사 상태 최신화 필요","Validation refresh required","Can lam moi trang thai kiem tra","Web workflow"
"workflow.recalculateBlockersHint","생성을 실행해 최신 blocker를 다시 계산해주세요.","Run generation to recalculate the latest blockers.","Chay tao de tinh lai blocker moi nhat.","Web workflow"
"workflow.quickFixableCount","빠른수정 가능한 항목 {count}건","{count} quick fixes available","Co {count} sua nhanh","Web workflow"
"workflow.quickFixAll","빠른수정 전체","Quick fix all","Sua nhanh tat ca","Web workflow"
"workflow.quickFix","빠른수정","Quick fix","Sua nhanh","Web workflow"
"workflow.noStructuredDiagnostics","구조화된 draft preflight diagnostics가 없습니다.","No structured draft preflight diagnostics.","Khong co diagnostics draft preflight co cau truc.","Web workflow"
"workflow.summaryStaleHint","최신 검사 결과가 아니므로 생성 전에 재검사가 필요합니다.","Validation is stale, so recheck before generation.","Kiem tra da cu nen can kiem tra lai truoc khi tao.","Web workflow"
"workflow.summaryFreshHint","현재 preflight 기준 핵심 상태를 요약합니다.","Summarizes the current preflight status.","Tom tat trang thai preflight hien tai.","Web workflow"
"workflow.summaryMode","모드","Mode","Che do","Web workflow"
"workflow.summaryStage","단계","Stage","Buoc","Web workflow"
"auth.currentUnityCatalogUpload","현재 Unity 카탈로그 업로드","Current Unity catalog upload","Tai catalog Unity hien tai","Unity auth"
"auth.playableCatalogSync","플레이어블 카탈로그 동기화","Playable catalog sync","Dong bo catalog playable","Unity auth"
"auth.savedLoginCheckAction","저장된 로그인 확인","Saved login check","Kiem tra dang nhap da luu","Unity auth"
"auth.googleCanceledOrFailed","Google 로그인이 취소되었거나 실패했습니다: {0}","Google login was canceled or failed: {0}","Dang nhap Google bi huy hoac that bai: {0}","Unity auth"
"auth.googleCallbackValidationFailed","Google 로그인 callback 검증에 실패했습니다.","Google login callback validation failed.","Kiem tra callback dang nhap Google that bai.","Unity auth"
"auth.googleBrowserFlowFailed","Google 로그인 브라우저 흐름에 실패했습니다.\n\n{0}","Google login browser flow failed.\n\n{0}","Luon trinh duyet dang nhap Google that bai.\n\n{0}","Unity auth"
"auth.googleLocalhostPortUnavailable","Google 로그인용 localhost 포트를 열 수 없습니다.","Could not open a localhost port for Google login.","Khong the mo port localhost cho dang nhap Google.","Unity auth"
"auth.googleLoginTimeout","Google 로그인 대기 시간이 초과되었습니다.","Google login timed out.","Dang nhap Google het thoi gian cho.","Unity auth"
"auth.sharedHashMissingFromServer","서버가 shared hash를 반환하지 않았습니다.","The server did not return a shared hash.","Server khong tra ve shared hash.","Unity auth"
"auth.sharedHashLocalReadFailed","Unity 로컬 shared submodule hash를 읽지 못했습니다.","Could not read the Unity local shared submodule hash.","Khong the doc hash shared submodule local Unity.","Unity auth"
"auth.sharedHashDifferent","서버와 Unity의 shared submodule commit이 다릅니다.","The server and Unity shared submodule commits differ.","Commit shared submodule cua server va Unity khac nhau.","Unity auth"
"auth.sharedHashBlocked","shared hash가 일치하지 않아 Authoring Server 연결을 차단했습니다.","Authoring Server connection was blocked because shared hashes do not match.","Da chan ket noi Authoring Server vi shared hash khong khop.","Unity auth"
"auth.sharedHashRetryHint","서버 기준 shared submodule 커밋으로 Unity submodule을 다시 맞춘 뒤 재시도하세요.","Sync the Unity submodule to the server shared submodule commit, then try again.","Dong bo Unity submodule theo commit shared cua server roi thu lai.","Unity auth"
"auth.authoringServerUrlMissing","Authoring 서버 URL이 설정되지 않았습니다.\n\n내부망 서버 주소가 필요합니다.\nUnity ProjectSettings/PlayableAISettings.json의 server.publicBaseUrl을 확인하세요.","Authoring server URL is not configured.\n\nAn internal network server address is required.\nCheck server.publicBaseUrl in Unity ProjectSettings/PlayableAISettings.json.","Chua cau hinh URL server Authoring.\n\nCan dia chi server mang noi bo.\nKiem tra server.publicBaseUrl trong Unity ProjectSettings/PlayableAISettings.json.","Unity auth"
"auth.authoringServerUrlInvalid","Authoring 서버 URL 형식이 올바르지 않습니다.","Authoring server URL is invalid.","URL server Authoring khong hop le.","Unity auth"
"auth.authoringServerLoopbackNotAllowed","로컬 루프백 주소로는 서버에 연결할 수 없습니다.\n\nUnity가 분리된 환경이면 자기 자신을 가리키게 됩니다.\n내부망 서버 주소를 사용하세요.\nUnity ProjectSettings/PlayableAISettings.json의 server.publicBaseUrl을 확인하세요.","Cannot connect to the server with a local loopback address.\n\nIn an isolated Unity environment, that points back to itself.\nUse an internal network server address.\nCheck server.publicBaseUrl in Unity ProjectSettings/PlayableAISettings.json.","Khong the ket noi server bang dia chi loopback cuc bo.\n\nTrong moi truong Unity rieng, dia chi do tro ve chinh no.\nDung dia chi server mang noi bo.\nKiem tra server.publicBaseUrl trong Unity ProjectSettings/PlayableAISettings.json.","Unity auth"
"auth.actionRequestFailed","{0} 요청에 실패했습니다.\n\n{1}","{0} request failed.\n\n{1}","Yeu cau {0} that bai.\n\n{1}","Unity auth"
"auth.actionFailed","{0}에 실패했습니다.\n\n{1}","{0} failed.\n\n{1}","{0} that bai.\n\n{1}","Unity auth"
"auth.localEditorBridgePortUnavailable","Unity Local Editor Bridge용 localhost 포트를 열 수 없습니다.","Could not open a localhost port for Unity Local Editor Bridge.","Khong the mo port localhost cho Unity Local Editor Bridge.","Unity auth"
"postBake.requiredAmount","필요 금액","Required amount","So tien can","Unity Post-Bake"
"postBake.timeSeconds","시간(초)","Time (seconds)","Thoi gian (giay)","Unity Post-Bake"
"postBake.conditionReadOnly","이 조건은 설명용 규칙이라 여기서 바꿀 수 있는 숫자값이 없습니다.","This condition is descriptive, so there is no numeric value to edit here.","Dieu kien nay chi de mo ta nen khong co gia tri so de chinh o day.","Unity Post-Bake"
"postBake.summaryPrefix","요약: ","Summary: ","Tom tat: ","Unity Post-Bake"
"postBake.delaySeconds","대기 시간(초)","Delay (seconds)","Thoi gian cho (giay)","Unity Post-Bake"
"postBake.cameraMoveTime","카메라 이동 시간","Camera move time","Thoi gian di chuyen camera","Unity Post-Bake"
"postBake.startDelay","시작 대기 시간","Start delay","Do tre bat dau","Unity Post-Bake"
"postBake.returnDelay","복귀 대기 시간","Return delay","Do tre quay lai","Unity Post-Bake"
"postBake.autoHideOnStepExit","단계가 끝나면 자동 숨김","Auto-hide when the step ends","Tu dong an khi buoc ket thuc","Unity Post-Bake"
"postBake.runtimeRootRequired","PlayableRuntimeRoot가 필요합니다.","PlayableRuntimeRoot is required.","Can PlayableRuntimeRoot.","Unity Post-Bake"
"postBake.validSceneRuntimeRootRequired","유효한 scene에 속한 PlayableRuntimeRoot가 필요합니다.","A PlayableRuntimeRoot in a valid scene is required.","Can PlayableRuntimeRoot trong scene hop le.","Unity Post-Bake"
"postBake.sceneMustBeSavedForSettings","post-bake settings asset를 만들려면 scene이 먼저 저장되어야 합니다.","Save the scene before creating the post-bake settings asset.","Hay luu scene truoc khi tao post-bake settings asset.","Unity Post-Bake"
"postBake.flowBeatInfo","Flow는 beat-centric 구조입니다. onboarding은 beats에서 파생되며 저장되지 않습니다. 현재 beats: {0}.","Flow is beat-centric. Onboarding is derived from beats and is not saved. Current beats: {0}.","Flow dung cau truc beat-centric. Onboarding duoc suy ra tu beats va khong luu. Beats hien tai: {0}.","Unity Post-Bake"
"postBake.validation.required","{0}가 필요합니다.","{0} is required.","Can {0}.","Unity Post-Bake"
"postBake.validation.nonNegative","{0}는 0 이상이어야 합니다.","{0} must be 0 or greater.","{0} phai lon hon hoac bang 0.","Unity Post-Bake"
"postBake.validation.positive","{0}는 0보다 커야 합니다.","{0} must be greater than 0.","{0} phai lon hon 0.","Unity Post-Bake"
"postBake.validation.minOrMore","{0}는 Min 이상이어야 합니다.","{0} must be greater than or equal to Min.","{0} phai lon hon hoac bang Min.","Unity Post-Bake"
"postBake.validation.currencyUnitMultiple","{0}는 Currency Unit Value의 배수여야 합니다.","{0} must be a multiple of Currency Unit Value.","{0} phai la boi so cua Currency Unit Value.","Unity Post-Bake"
"postBake.validation.primaryCurrencyMultiple","{0}는 primary currency unit의 배수여야 합니다.","{0} must be a multiple of the primary currency unit.","{0} phai la boi so cua primary currency unit.","Unity Post-Bake"
"postBake.validation.notEmpty","{0}는 비어 있을 수 없습니다.","{0} cannot be empty.","{0} khong duoc de trong.","Unity Post-Bake"
"postBake.validation.vectorAxesNonNegative","{0}의 각 축은 0 이상이어야 합니다.","Each axis of {0} must be 0 or greater.","Moi truc cua {0} phai lon hon hoac bang 0.","Unity Post-Bake"
"common.yes","예","Yes","Co","Common label"
"common.no","아니오","No","Khong","Common label"
"status.interrupted","중단됨","Interrupted","Da bi dung","Status label"
"status.error","오류","Error","Loi","Status label"
"bridge.serverRequired","서버 연결 필요","Server connection required","Can ket noi server","Web bridge"
"catalog.upToDate","카탈로그 최신","Catalog up to date","Catalog moi nhat","Web catalog"
"catalog.count","카탈로그 {count}개","{count} catalog items","{count} muc catalog","Web catalog"
"catalog.countUpdateAvailable","카탈로그 {count}개 · 최신 카탈로그 적용 가능","{count} catalog items · latest catalog available","{count} muc catalog · co the ap dung catalog moi nhat","Web catalog"
"catalog.sharedUnityCount","공용 Unity 카탈로그 · {count}개","Shared Unity catalog · {count} items","Catalog Unity dung chung · {count} muc","Web catalog"
"catalog.noCurrentPlayable","현재 플레이어블 없음","No current playable","Khong co playable hien tai","Web catalog"
"catalog.noOpenPlayable","현재 열린 플레이어블이 없습니다.","No playable is currently open.","Khong co playable nao dang mo.","Web catalog"
"catalog.noSharedUnityCatalog","현재 공용 Unity 카탈로그도 아직 없습니다.","No shared Unity catalog is available yet.","Chua co catalog Unity dung chung.","Web catalog"
"catalog.detailState","카탈로그 상태: {value}","Catalog state: {value}","Trang thai catalog: {value}","Web catalog"
"catalog.state.none","없음","None","Khong co","Web catalog"
"catalog.noPlayableCatalogData","이 플레이어블에는 아직 카탈로그 데이터가 없습니다.","This playable does not have catalog data yet.","Playable nay chua co du lieu catalog.","Web catalog"
"catalog.applyLatestHint","최신 카탈로그로 업데이트하면 현재 Unity 카탈로그를 연결할 수 있습니다.","Update to the latest catalog to connect the current Unity catalog.","Cap nhat len catalog moi nhat de ket noi catalog Unity hien tai.","Web catalog"
"catalog.detailLoading","카탈로그 상세를 읽는 중입니다.","Reading catalog details.","Dang doc chi tiet catalog.","Web catalog"
"catalog.titleCount","{title} · 카탈로그 {count}개","{title} · {count} catalog items","{title} · {count} muc catalog","Web catalog"
"catalog.detailLoaded","카탈로그 상세를 불러왔습니다.","Catalog details loaded.","Da tai chi tiet catalog.","Web catalog"
"catalog.detailLoadFailed","카탈로그 상세를 불러오지 못했습니다.","Could not load catalog details.","Khong the tai chi tiet catalog.","Web catalog"
"catalog.detailEntryCount","항목 수: {count}","Entry count: {count}","So muc: {count}","Web catalog"
"catalog.detailObjectCount","오브젝트 수: {count}","Object count: {count}","So object: {count}","Web catalog"
"catalog.detailSyncedAt","동기화 시각: {value}","Synced at: {value}","Dong bo luc: {value}","Web catalog"
"catalog.detailClientVersion","클라이언트 버전: {value}","Client version: {value}","Version client: {value}","Web catalog"
"catalog.detailUpdateAvailable","업데이트 가능: {value}","Update available: {value}","Co cap nhat: {value}","Web catalog"
"catalog.detailNoItems","- 항목 없음","- No items","- Khong co muc","Web catalog"
"catalog.alreadyCurrent","이 플레이어블은 이미 현재 Unity 카탈로그와 같습니다.","This playable already matches the current Unity catalog.","Playable nay da khop catalog Unity hien tai.","Web catalog"
"catalog.applyLatestConfirm","현재 Unity 카탈로그를 이 플레이어블에 적용할까요? 기존 intent/layout이 새 catalog와 맞지 않으면 검사 blocker가 생길 수 있습니다.","Apply the current Unity catalog to this playable? If the existing intent/layout does not match the new catalog, validation blockers may appear.","Ap dung catalog Unity hien tai vao playable nay? Neu intent/layout hien co khong khop catalog moi, co the xuat hien blocker kiem tra.","Web catalog"
"catalog.applyingLatest","최신 카탈로그를 플레이어블에 적용하는 중입니다.","Applying the latest catalog to the playable.","Dang ap dung catalog moi nhat vao playable.","Web catalog"
"catalog.appliedLatest","최신 카탈로그를 적용했습니다. 검사 결과를 확인해주세요.","Latest catalog applied. Check validation results.","Da ap dung catalog moi nhat. Hay kiem tra ket qua.","Web catalog"
"catalog.applyLatestFailed","최신 카탈로그를 적용하지 못했습니다.","Could not apply the latest catalog.","Khong the ap dung catalog moi nhat.","Web catalog"
"chat.generatingResponse","응답 생성 중","Generating response","Dang tao phan hoi","Web chat"
"chat.operationInterrupted","작업이 중단되었습니다.","The operation was interrupted.","Tac vu da bi dung.","Web chat"
"chat.operationInterruptedStale","오랫동안 응답이 없어 작업이 중단된 것으로 표시했습니다.","Marked as interrupted because there was no response for a long time.","Da danh dau bi dung vi khong co phan hoi trong thoi gian dai.","Web chat"
"chat.operationInterruptedConnection","서버 연결이 끊겨 작업이 중단되었습니다.","The operation was interrupted because the server connection was lost.","Tac vu bi dung vi mat ket noi server.","Web chat"
"chat.operationInterruptedError","오류로 인해 작업이 중단되었습니다.","The operation was interrupted because of an error.","Tac vu bi dung do loi.","Web chat"
"workflow.pending.save","draft_layout.json을 저장하고 있습니다.","Saving draft_layout.json.","Dang luu draft_layout.json.","Web workflow"
"workflow.pending.check","HTML 기준 검사를 갱신하고 있습니다.","Updating HTML validation.","Dang cap nhat kiem tra HTML.","Web workflow"
"workflow.pending.quickFix","빠른수정을 적용하고 다시 검사하고 있습니다.","Applying quick fixes and checking again.","Dang ap dung sua nhanh va kiem tra lai.","Web workflow"
"workflow.pending.agentProvider","AI 제공자를 변경하고 있습니다.","Changing AI provider.","Dang doi nha cung cap AI.","Web workflow"
"workflow.pending.agentSend","AI 응답을 요청하고 있습니다.","Requesting AI response.","Dang yeu cau phan hoi AI.","Web workflow"
"workflow.pending.agentInterrupt","AI 작업 중단을 요청하고 있습니다.","Requesting AI interruption.","Dang yeu cau dung tac vu AI.","Web workflow"
"workflow.pending.agentRetry","중단된 작업을 재시도하고 있습니다.","Retrying the interrupted operation.","Dang thu lai tac vu da bi dung.","Web workflow"
"workflow.pending.agentNewThread","새 대화를 시작하고 있습니다.","Starting a new conversation.","Dang bat dau hoi thoai moi.","Web workflow"
"workflow.pending.export","생성 요청을 실행하고 있습니다.","Running generation request.","Dang chay yeu cau tao.","Web workflow"
"workflow.exportBlockedByPreflight","draft preflight blocker가 있어 Export를 시작할 수 없습니다.","Cannot start Export because draft preflight blockers exist.","Khong the bat dau Export vi co blocker draft preflight.","Web workflow"
"workflow.exportBlockedStage","Export 차단","Export blocked","Export bi chan","Web workflow"
"workflow.exportWaitingStage","Export 대기","Export waiting","Export dang cho","Web workflow"
"workflow.exportBakeWaiting","최신 playable_recipe는 준비되었지만 Bake는 아직 실행되지 않았습니다.","The latest playable_recipe is ready, but Bake has not run yet.","playable_recipe moi nhat da san sang nhung Bake chua chay.","Web workflow"
"workflow.exportReadyFromSavedDraft","저장된 draft_layout 기준으로 Export를 실행할 수 있습니다.","Export can run from the saved draft_layout.","Co the chay Export tu draft_layout da luu.","Web workflow"
"guide.start.title","AI Playable Studio 시작하기","Start AI Playable Studio","Bat dau AI Playable Studio","Web guide"
"guide.start.body","플레이어블 제작 전 Unity 프로젝트와 카탈로그 연결 상태를 확인합니다.","Check Unity project and catalog connection before authoring a playable.","Kiem tra ket noi project Unity va catalog truoc khi tao playable.","Web guide"
"guide.start.check1","Unity에서 AI Playable Studio로 Studio를 엽니다.","Open Studio from AI Playable Studio in Unity.","Mo Studio tu AI Playable Studio trong Unity.","Web guide"
"guide.start.check2","Google 로그인 후 홈에서 플레이어블 생성 및 관리 또는 가이드를 선택합니다.","After Google login, choose playable creation/management or Guide from Home.","Sau dang nhap Google, chon tao/quan ly playable hoac Guide tu Home.","Web guide"
"guide.start.check3","Unity Bridge가 연결되면 가이드에서 에셋 선택과 SceneView 포커스를 사용할 수 있습니다.","When Unity Bridge is connected, Guide can select assets and focus SceneView.","Khi Unity Bridge ket noi, Guide co the chon asset va focus SceneView.","Web guide"
"guide.asset.generatedCatalog","현재 프로젝트 카탈로그를 Unity에서 선택합니다.","Select the current project catalog in Unity.","Chon catalog project hien tai trong Unity.","Web guide"
"guide.catalog.title","관련 에셋 확인","Review Related Assets","Xem asset lien quan","Web guide"
"guide.catalog.body","카탈로그와 관련 에셋을 기준으로 제작에 필요한 오브젝트를 찾고 Unity에서 바로 확인합니다.","Find required authoring objects from the catalog and related assets, then inspect them in Unity.","Tim object can de authoring tu catalog va asset lien quan, roi kiem tra trong Unity.","Web guide"
"guide.catalog.check1","가이드의 관련 에셋 버튼으로 Project 창에서 에셋을 찾습니다.","Use the related asset buttons in Guide to find assets in the Project window.","Dung nut asset lien quan trong Guide de tim asset o Project window.","Web guide"
"guide.catalog.check2","필요한 prefab, texture, UI root를 확인한 뒤 플레이어블 생성 및 관리 화면으로 이동합니다.","Check required prefabs, textures, and UI roots, then go to playable creation and management.","Kiem tra prefab, texture va UI root can thiet, roi sang man tao va quan ly playable.","Web guide"
"guide.asset.playableAssets","플레이어블 관련 에셋 루트를 선택합니다.","Select the playable asset root.","Chon root asset cua playable.","Web guide"
"guide.asset.sceneFocus","현재 선택 대상을 SceneView에 포커스합니다.","Focus the current selection in SceneView.","Focus lua chon hien tai trong SceneView.","Web guide"
"guide.layout.title","배치와 검증","Layout and Validation","Layout va kiem tra","Web guide"
"guide.layout.body","배치 레이아웃을 만들고 검사 결과를 보면서 플레이어블 제작 흐름을 진행합니다.","Create the layout and continue authoring while reviewing validation results.","Tao layout va tiep tuc authoring khi xem ket qua kiem tra.","Web guide"
"guide.layout.check1","플레이어블 생성 및 관리 화면에서 새 세션을 만듭니다.","Create a new session from playable creation and management.","Tao session moi tu man tao va quan ly playable.","Web guide"
"guide.layout.check2","채팅 에이전트로 초안을 만들고 배치 도구로 레이아웃을 정리합니다.","Use the chat agent to draft, then refine layout with layout tools.","Dung chat agent de tao ban nhap, roi chinh layout bang cong cu layout.","Web guide"
"guide.layout.check3","검사, 저장, 생성 순서로 결과를 확인합니다.","Check, Save, and Generate in sequence to review the result.","Chay Check, Save va Generate de xem ket qua.","Web guide"
"guide.asset.currentSelection","현재 Unity 선택 대상을 다시 포커스합니다.","Refocus the current Unity selection.","Focus lai lua chon Unity hien tai.","Web guide"
"guide.bridgeConnected","Unity Bridge 연결됨","Unity Bridge connected","Unity Bridge da ket noi","Web guide"
"guide.bridgeConnectedDetail","같은 PC Unity Editor로 선택과 포커스 명령을 보낼 수 있습니다.","Selection and focus commands can be sent to the Unity Editor on this PC.","Co the gui lenh chon va focus toi Unity Editor tren PC nay.","Web guide"
"guide.bridgeDisconnectedDetail","Unity에서 AI Playable Studio로 Studio를 열면 같은 PC 직접 제어를 사용할 수 있습니다.","Open Studio with AI Playable Studio in Unity to enable direct control on this PC.","Mo Studio bang AI Playable Studio trong Unity de bat dieu khien truc tiep tren PC nay.","Web guide"
"guide.noRelatedAssets","관련 에셋이 없습니다.","No related assets.","Khong co asset lien quan.","Web guide"
"guide.assetDefaultDescription","Unity Editor에서 확인합니다.","Inspect in Unity Editor.","Kiem tra trong Unity Editor.","Web guide"
"session.debugEnabled","디버그 세션 표시가 활성화되었습니다.","Debug session display enabled.","Da bat hien session debug.","Web session"
"session.debugDisabled","디버그 세션 표시가 비활성화되었습니다.","Debug session display disabled.","Da tat hien session debug.","Web session"
"auth.loginFromUnityRetry","Unity에서 AIPS로 Google 로그인 후 다시 시도해주세요.","Sign in with Google through AIPS in Unity, then try again.","Dang nhap Google qua AIPS trong Unity roi thu lai.","Web auth"
"session.nameRequired","플레이어블 이름을 입력해주세요.","Enter a playable name.","Nhap ten playable.","Web session"
"workflow.summaryLabel","요약","Summary","Tom tat","Web dialog"
"workflow.diagnostics","진단","Diagnostics","Chan doan","Web dialog"
"workflow.rawConflictsText","원본 conflictsText","Raw conflictsText","conflictsText goc","Web dialog"
"dialog.connectionState","연결 상태","Connection state","Trang thai ket noi","Web dialog"
"dialog.selectionInfo","선택 정보","Selection info","Thong tin lua chon","Web dialog"
"dialog.checkResult","검사 결과","Check result","Ket qua kiem tra","Web dialog"
"common.requestFailedStatus","요청에 실패했습니다. ({status})","Request failed. ({status})","Yeu cau that bai. ({status})","Common error"
"chat.aiResponseApplied","AI 응답을 반영했습니다.","AI response applied.","Da ap dung phan hoi AI.","Web chat"
"workflow.bakeReady","베이크 준비 완료","Bake ready","Bake san sang","Web workflow"
"workflow.bakeNotReady","베이크 준비 미완료","Bake not ready","Bake chua san sang","Web workflow"
"workflow.authorityHandoffStatus","authority 반영 상태 · step {step}({status}) · blocker {count}건 · {bakeState}","Authority applied · step {step}({status}) · {count} blockers · {bakeState}","Da ap dung authority · step {step}({status}) · {count} blocker · {bakeState}","Web workflow"
"contentStore.mountMissing","Content Store module mount 함수를 찾지 못했습니다.","Could not find the Content Store module mount function.","Khong tim thay ham mount module Content Store.","Web Content Store"
"contentStore.loadFailed","Content Store를 불러오지 못했습니다.","Could not load Content Store.","Khong the tai Content Store.","Web Content Store"
"contentStore.viewLoadFailed","Content Store 화면을 불러오지 못했습니다. ({status})","Could not load the Content Store view. ({status})","Khong the tai man hinh Content Store. ({status})","Web Content Store"
"auth.authoringThemeIdResolveFailed","authoring catalog themeId를 결정하지 못했습니다. {0}","Could not resolve the authoring catalog themeId. {0}","Khong the xac dinh themeId catalog authoring. {0}","Unity auth"
"auth.activeThemeNotInCatalog","선택한 themeId가 catalog에 없습니다.\n- selected: `{0}`\n- available: {1}","Selected themeId is not in the catalog.\n- selected: `{0}`\n- available: {1}","themeId da chon khong co trong catalog.\n- selected: `{0}`\n- available: {1}","Unity auth"
"auth.themeIdNotFoundInContentId","contentId에서 themeId를 찾지 못했습니다.","Could not find themeId from contentId.","Khong tim thay themeId tu contentId.","Unity auth"
"auth.multipleThemeIdsNeedActive","여러 themeId가 공존합니다. 웹 세션에서 사용할 테마를 선택하세요.\n- available: {0}","Multiple themeIds exist. Select the theme in the web session.\n- available: {0}","Co nhieu themeId. Hay chon theme trong web session.\n- available: {0}","Unity auth"
"common.emptyParentheses","(비어 있음)","(empty)","(trong)","Common label"
"contentStore.noSelectedContent","선택된 content가 없습니다.","No content selected.","Chua chon content.","Unity Content Store"
"contentStore.selectedContentQueueIdMissing","선택된 content의 queue id를 만들 수 없습니다.","Could not create a queue id for the selected content.","Khong the tao queue id cho content da chon.","Unity Content Store"
"contentStore.uploadFailed","업로드 실패: {0}","Upload failed: {0}","Tai len that bai: {0}","Unity Content Store"
"contentStore.uploadQueueRequestFailedHttp","upload queue 요청 실패: HTTP {0} {1}","Upload queue request failed: HTTP {0} {1}","Yeu cau upload queue that bai: HTTP {0} {1}","Unity Content Store"
"contentStore.uploadBlockedUnityBusy","Unity 컴파일/에셋 갱신 중에는 업로드할 수 없습니다.","Cannot upload while Unity is compiling or refreshing assets.","Khong the tai len khi Unity dang compile hoac refresh asset.","Unity Content Store"
"contentStore.unsupportedContentEntry","지원하지 않는 content entry입니다.","Unsupported content entry.","Content entry khong duoc ho tro.","Unity Content Store"
"contentStore.contentRootMissing","content root 폴더를 찾지 못했습니다: {0}","Could not find the content root folder: {0}","Khong tim thay thu muc content root: {0}","Unity Content Store"
"contentStore.prefabOutsideInstalledRoot","선택된 prefab이 installedPath root 아래에 있지 않습니다.","The selected prefab is not under the installedPath root.","Prefab da chon khong nam duoi installedPath root.","Unity Content Store"
"contentStore.prefabLoadFailed","선택된 prefab을 로드할 수 없습니다: {0}","Could not load the selected prefab: {0}","Khong the tai prefab da chon: {0}","Unity Content Store"
"contentStore.contentMetadataRequired","root prefab에 ContentMetadata가 필요합니다: {0}","ContentMetadata is required on the root prefab: {0}","Can ContentMetadata tren root prefab: {0}","Unity Content Store"
"contentStore.metadataCategoryMustBeFeature","ContentMetadata.category는 feature여야 합니다: {0}","ContentMetadata.category must be feature: {0}","ContentMetadata.category phai la feature: {0}","Unity Content Store"
"contentStore.builtinUploadCannotUseFeature","built-in 업로드에는 feature category를 사용할 수 없습니다: {0}","Built-in uploads cannot use feature category: {0}","Upload built-in khong the dung feature category: {0}","Unity Content Store"
"contentStore.metadataEntryIdMismatch","ContentMetadata objectId/designId가 업로드 entry id와 일치해야 합니다.","ContentMetadata objectId/designId must match the upload entry id.","ContentMetadata objectId/designId phai khop entry id upload.","Unity Content Store"
"contentStore.featureDescriptorRequired","feature root 안에 .feature.asset이 필요합니다.","A .feature.asset file is required inside the feature root.","Can file .feature.asset trong feature root.","Unity Content Store"
"contentStore.featureVariantDescriptorRequired","feature runtime root 안에 non-builtin .feature.asset이 필요합니다.","A non-built-in .feature.asset file is required inside the feature runtime root.","Can file .feature.asset non-builtin trong feature runtime root.","Unity Content Store"
"contentStore.unityMetaMissing","Unity meta 파일이 누락되었습니다: {0}","Unity meta file is missing: {0}","Thieu file Unity meta: {0}","Unity Content Store"
"contentStore.featureVariantDescription","프로젝트에서 만든 feature variant입니다.","Feature variant created in this project.","Feature variant tao trong project nay.","Unity Content Store"
"contentStore.builtinContentDescription","프로젝트 기본 콘텐츠입니다.","Project default content.","Noi dung mac dinh cua project.","Unity Content Store"
"contentStore.featureContentDescription","기본 feature 콘텐츠입니다.","Default feature content.","Noi dung feature mac dinh.","Unity Content Store"
"contentStore.catalogEntryDescription","콘텐츠 카탈로그 항목입니다.","Content catalog entry.","Muc catalog content.","Unity Content Store"
"contentStore.publishCompleteApproved","게시 완료: approved","Published: approved","Da dang: approved","Unity Content Store"
"contentStore.uploadCompletePending","업로드 완료: pending","Upload complete: pending","Tai len xong: pending","Unity Content Store"
